ID,length,locus_tag,assembly,accession,start,end,strand,taxid,feature,gene,product,protein_id,context,superkingdom,phylum,class,order,family,genus,species,replicon_type,replicon_name
AB000AABF6,207,APT61_RS17320,GCF001518835.1,NZ_CP013990.1,3722856,3723480,-1,83655,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_032616835.1,AB000AABF7;AB000AABF8;AB000AABF9;AB000AABFA;AB000AABFB;AB000AABFC;AB000AABFD;AB000AABFE;AB000AABFF;AB000AABF5;AB000AABF4;AB000AABF3;AB000AABF2;AB000AABF1;AB000AABF0;AB000AABEZ;AB000AABEY,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Leclercia,Leclercia adecarboxylata,main,main
AB0017NEQD,207,DQN97_RS19030,GCF900477995.1,NZ_LS483454.1,3629041,3629665,-1,2564436,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122257.1,AB0017NEQE;AB0017NEQF;AB0017NEQG;AB0017NEQH;AB0017NEQI;AB0017NEQJ;AB0017NEQK;AB0017NEQL;AB0017NEQM;AB0017NEQN;AB0017NEQC;AB0017NEQB;AB0017NEQA;AB0017NEQ9;AB0017NEQ8;AB0017NEQ7;AB0017NEQ6;AB0017NEQ5,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,chromosome,1
AB000TFWKM,207,EA483_RS18445,GCF005457265.1,NZ_CP040701.1,3655016,3655640,-1,57743,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122257.1,AB000TFWKN;AB000TFWKO;AB000TFWKP;AB000TFWKQ;AB000TFWKR;AB000TFWKS;AB000TFWKT;AB000TFWKU;AB000TFWKV;AB000TFWKW;AB000TFWKL;AB000TFWKK;AB000TFWKJ;AB000TFWKI;AB000TFWKH;AB000TFWKG;AB000TFWKF;AB000TFWKE,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,main,main
AB0004AACK,207,F3X60_RS17945,GCF000271905.2,NZ_CP015924.1,3580877,3581501,-1,930779,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_000122257.1,AB0004AACL;AB0004AACM;AB0004AACN;AB0004AACO;AB0004AACP;AB0004AACQ;AB0004AACR;AB0004AACS;AB0004AACT;AB0004AACU;AB0004AACJ;AB0004AACI;AB0004AACH;AB0004AACG;AB0004AACF;AB0004AACE;AB0004AACD;AB0004AACC,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,main,main
AB0010QI0E,207,HCV81_RS21065,GCF012029935.2,NZ_CP061404.1,4219533,4220157,-1,573,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_002891804.1,AB0010QI0F;AB0010QI0G;AB0010QI0H;AB0010QI0I;AB0010QI0J;AB0010QI0K;AB0010QI0L;AB0010QI0M;AB0010QI0N;AB0010QI0D;AB0010QI0C;AB0010QI0B;AB0010QI0A;AB0010QI09;AB0010QI08;AB0010QI07;AB0010QI06,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,main,main
AB000XU5O6,207,FOZ68_RS20355,GCF009720445.1,NZ_CP041946.1,4126822,4127446,-1,573,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_002891804.1,AB000XU5O7;AB000XU5O8;AB000XU5O9;AB000XU5OA;AB000XU5OB;AB000XU5OC;AB000XU5OD;AB000XU5OE;AB000XU5OF;AB000XU5OG;AB000XU5O5;AB000XU5O4;AB000XU5O3;AB000XU5O2;AB000XU5O1;AB000XU5O0;AB000XU5NZ;AB000XU5NY,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,main,main
AB0012ZQWW,207,HWQ16_RS02840,GCF013376815.1,NZ_CP056776.1,554597,555221,-1,550,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_013095857.1,AB0012ZQWX;AB0012ZQWY;AB0012ZQWZ;AB0012ZQX0;AB0012ZQX1;AB0012ZQX2;AB0012ZQX3;AB0012ZQX4;AB0012ZQX5;AB0012ZQWV;AB0012ZQWU;AB0012ZQWT;AB0012ZQWS;AB0012ZQWR;AB0012ZQWQ;AB0012ZQWP;AB0012ZQWO;AB0012ZQWN;AB0012ZQWM,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter cloacae,main,main
AB0013S9UY,207,HV326_RS05140,GCF013726395.1,NZ_CP056132.1,1077241,1077865,1,158836,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_006809880.1,AB0013S9UZ;AB0013S9V0;AB0013S9V1;AB0013S9V2;AB0013S9V3;AB0013S9V4;AB0013S9V5;AB0013S9V6;AB0013S9V7;AB0013S9V8;AB0013S9UX;AB0013S9UW;AB0013S9UV;AB0013S9UU;AB0013S9UT;AB0013S9US;AB0013S9UR;AB0013S9UQ;AB0013S9UP;AB0013S9UO,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei,main,main
AB000MWO3H,207,DPF84_RS03985,GCF003264955.1,NZ_CP030076.1,774937,775561,-1,158836,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_006809880.1,AB000MWO3I;AB000MWO3J;AB000MWO3K;AB000MWO3L;AB000MWO3M;AB000MWO3N;AB000MWO3O;AB000MWO3P;AB000MWO3Q;AB000MWO3G;AB000MWO3F;AB000MWO3E;AB000MWO3D;AB000MWO3C;AB000MWO3B;AB000MWO3A;AB000MWO39;AB000MWO38;AB000MWO37,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Enterobacter hormaechei,main,main
AB000XBIGE,207,GHC38_RS16425,GCF009650415.1,NZ_CP045843.1,3484637,3485261,-1,61648,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_062773874.1,AB000XBIGF;AB000XBIGG;AB000XBIGH;AB000XBIGI;AB000XBIGJ;AB000XBIGK;AB000XBIGL;AB000XBIGM;AB000XBIGN;AB000XBIGD;AB000XBIGC;AB000XBIGB;AB000XBIGA;AB000XBIG9;AB000XBIG8;AB000XBIG7;AB000XBIG6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kluyvera,Kluyvera intermedia,main,main
AB000BML1T,207,A8A57_RS05020,GCF001652505.2,NZ_CP015774.2,1062324,1062948,1,61646,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_064325056.1,AB000BML1U;AB000BML1V;AB000BML1W;AB000BML1X;AB000BML1Y;AB000BML1Z;AB000BML20;AB000BML21;AB000BML1S;AB000BML1R;AB000BML1Q;AB000BML1P;AB000BML1O;AB000BML1N;AB000BML1M;AB000BML1L;AB000BML1K;AB000BML1J,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Lelliottia,Lelliottia amnigena,main,main
AB0015I8KZ,207,HF650_RS05695,GCF014490785.1,NZ_CP051488.1,1203444,1204068,1,2725560,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_007373538.1,AB0015I8L0;AB0015I8L1;AB0015I8L2;AB0015I8L3;AB0015I8L4;AB0015I8L5;AB0015I8L6;AB0015I8L7;AB0015I8KY;AB0015I8KX;AB0015I8KW;AB0015I8KV;AB0015I8KU;AB0015I8KT;AB0015I8KS;AB0015I8KR;AB0015I8KQ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia sp. SMBL-WEM22,main,main
AB0008PAFF,207,AB182_RS19750,GCF001022135.1,NZ_CP011602.1,3413842,3414466,-1,1972431,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_041852501.1,AB0008PAFG;AB0008PAFH;AB0008PAFI;AB0008PAFJ;AB0008PAFK;AB0008PAFL;AB0008PAFM;AB0008PAFN;AB0008PAFE;AB0008PAFD;AB0008PAFC;AB0008PAFB;AB0008PAFA;AB0008PAF9;AB0008PAF8;AB0008PAF7,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Phytobacter,Phytobacter ursingii,main,main
AB00147ZJU,207,HVY90_RS17050,GCF013821695.1,NZ_CP057258.1,3588068,3588692,-1,546,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_096758064.1,AB00147ZJV;AB00147ZJW;AB00147ZJX;AB00147ZJY;AB00147ZJZ;AB00147ZK0;AB00147ZK1;AB00147ZK2;AB00147ZK3;AB00147ZJT;AB00147ZJS;AB00147ZJR;AB00147ZJQ;AB00147ZJP;AB00147ZJO;AB00147ZJN;AB00147ZJM,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Citrobacter,Citrobacter freundii,main,main
AB000Q6LA3,207,A8O29_RS17790,GCF003935895.2,NZ_CP054058.1,3539307,3539931,-1,1851514,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_110511663.1,AB000Q6LA4;AB000Q6LA5;AB000Q6LA6;AB000Q6LA7;AB000Q6LA8;AB000Q6LA9;AB000Q6LAA;AB000Q6LAB;AB000Q6LAC;AB000Q6LA2;AB000Q6LA1;AB000Q6LA0;AB000Q6L9Z;AB000Q6L9Y;AB000Q6L9X;AB000Q6L9W;AB000Q6L9V,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Scandinavium,Scandinavium goeteborgense,main,main
AB0018U721,206,FYC31_RS10545,GCF902387975.1,NZ_LR699009.1,2213710,2214331,1,61647,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_043085625.1,AB0018U722;AB0018U723;AB0018U724;AB0018U725;AB0018U726;AB0018U727;AB0018U728;AB0018U729;AB0018U720;AB0018U71Z;AB0018U71Y;AB0018U71X;AB0018U71W;AB0018U71V;AB0018U71U;AB0018U71T;AB0018U71S;AB0018U71R,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Pluralibacter,Pluralibacter gergoviae,chromosome,1
AB000P0W1O,207,D8682_RS10340,GCF003675305.1,NZ_CP033076.1,1901166,1901790,-1,2479367,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_034457992.1,AB000P0W1P;AB000P0W1Q;AB000P0W1R;AB000P0W1S;AB000P0W1T;AB000P0W1U;AB000P0W1V;AB000P0W1W;AB000P0W1X;AB000P0W1N;AB000P0W1M;AB000P0W1L;AB000P0W1K;AB000P0W1J;AB000P0W1I;AB000P0W1H;AB000P0W1G,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Buttiauxella,Buttiauxella sp. 3AFRM03,main,main
AB000IFW64,207,CO704_RS18180,GCF002393445.1,NZ_CP023525.1,3797792,3798416,-1,158822,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_008454616.1,AB000IFW65;AB000IFW66;AB000IFW67;AB000IFW68;AB000IFW69;AB000IFW6A;AB000IFW6B;AB000IFW63;AB000IFW62;AB000IFW61;AB000IFW60;AB000IFW5Z;AB000IFW5Y;AB000IFW5X;AB000IFW5W,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,main,main
AB0006VDCF,207,LH86_RS10235,GCF000758325.1,NZ_CP009459.1,2175450,2176074,1,158822,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_008454616.1,AB0006VDCG;AB0006VDCH;AB0006VDCI;AB0006VDCJ;AB0006VDCK;AB0006VDCL;AB0006VDCM;AB0006VDCN;AB0006VDCE;AB0006VDCD;AB0006VDCC;AB0006VDCB;AB0006VDCA;AB0006VDC9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cedecea,Cedecea neteri,main,main
AB000VL3QL,207,F0336_RS04900,GCF008364325.2,NZ_CP048784.1,1057251,1057875,1,614,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_020825491.1,AB000VL3QM;AB000VL3QN;AB000VL3QO;AB000VL3QP;AB000VL3QQ;AB000VL3QR;AB000VL3QS;AB000VL3QT;AB000VL3QK;AB000VL3QJ;AB000VL3QI;AB000VL3QH;AB000VL3QG;AB000VL3QF;AB000VL3QE;AB000VL3QD;AB000VL3QC,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia liquefaciens,main,main
AB0018FC19,207,EL343_RS06220,GCF900638145.1,NZ_LR134492.1,1370640,1371264,1,47917,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_021180167.1,AB0018FC1A;AB0018FC1B;AB0018FC1C;AB0018FC1D;AB0018FC1E;AB0018FC1F;AB0018FC1G;AB0018FC1H;AB0018FC18;AB0018FC17;AB0018FC16;AB0018FC15;AB0018FC14;AB0018FC13;AB0018FC12;AB0018FC11;AB0018FC10,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia fonticola,chromosome,1
AB0018E8J3,207,EL316_RS05175,GCF900637965.1,NZ_LR134478.1,1082057,1082681,1,82996,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_006319787.1,AB0018E8J4;AB0018E8J5;AB0018E8J6;AB0018E8J7;AB0018E8J8;AB0018E8J9;AB0018E8JA;AB0018E8JB;AB0018E8J2;AB0018E8J1;AB0018E8J0;AB0018E8IZ;AB0018E8IY;AB0018E8IX;AB0018E8IW;AB0018E8IV;AB0018E8IU,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia plymuthica,chromosome,1
AB000HDNLA,207,BVG92_RS01755,GCF002220695.1,NZ_CP018928.1,367771,368395,1,615,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_004940356.1,AB000HDNLB;AB000HDNLC;AB000HDNLD;AB000HDNLE;AB000HDNLF;AB000HDNLG;AB000HDNLH;AB000HDNLI;AB000HDNL9;AB000HDNL8;AB000HDNL7;AB000HDNL6;AB000HDNL5;AB000HDNL4;AB000HDNL3;AB000HDNL2;AB000HDNL1,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,main,main
AB0001MNVD,207,SPRO_RS05630,GCF000018085.1,NC_009832.1,1204574,1205198,1,399741,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_012005535.1,AB0001MNVE;AB0001MNVF;AB0001MNVG;AB0001MNVH;AB0001MNVI;AB0001MNVJ;AB0001MNVK;AB0001MNVL;AB0001MNVC;AB0001MNVB;AB0001MNVA;AB0001MNV9;AB0001MNV8;AB0001MNV7;AB0001MNV6;AB0001MNV5;AB0001MNV4;AB0001MNV3,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia proteamaculans,main,main
AB0005U7O1,207,SANT_RS15315,GCF000517425.1,NZ_CP006569.1,3433265,3433889,-1,1239307,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_025246891.1,AB0005U7O2;AB0005U7O3;AB0005U7O4;AB0005U7O5;AB0005U7O6;AB0005U7O7;AB0005U7O8;AB0005U7O9;AB0005U7OA;AB0005U7O0;AB0005U7NZ;AB0005U7NY;AB0005U7NX;AB0005U7NW;AB0005U7NV;AB0005U7NU,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Bruguierivoracaceae,Sodalis,Sodalis praecaptivus,main,main
AB00153QFL,207,GXP68_RS04560,GCF014233485.1,NZ_CP048243.1,976428,977052,1,41202,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_034792385.1,AB00153QFM;AB00153QFN;AB00153QFO;AB00153QFP;AB00153QFQ;AB00153QFR;AB00153QFS;AB00153QFT;AB00153QFK;AB00153QFJ;AB00153QFI;AB00153QFH;AB00153QFG;AB00153QFF;AB00153QFE;AB00153QFD;AB00153QFC,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Ewingella,Ewingella americana,main,main
AB000757VV,207,MC51_RS08990,GCF000783915.2,NZ_CP026050.1,1908998,1909622,-1,615,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_016928858.1,AB000757VW;AB000757VX;AB000757VY;AB000757VZ;AB000757W0;AB000757W1;AB000757W2;AB000757W3;AB000757W4;AB000757VU;AB000757VT;AB000757VS;AB000757VR;AB000757VQ;AB000757VP;AB000757VO;AB000757VN,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia marcescens,main,main
AB000JT883,207,CWC46_RS18955,GCF002847015.1,NZ_CP025085.1,4169261,4169885,-1,104623,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_021014975.1,AB000JT884;AB000JT885;AB000JT886;AB000JT887;AB000JT888;AB000JT889;AB000JT88A;AB000JT88B;AB000JT88C;AB000JT882;AB000JT881;AB000JT880;AB000JT87Z;AB000JT87Y;AB000JT87X;AB000JT87W;AB000JT87V,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia sp. ATCC 39006,main,main
AB000HYZJE,207,AWC35_RS06620,GCF002291425.1,NZ_CP014136.1,1416545,1417169,-1,929813,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_095845603.1,AB000HYZJF;AB000HYZJG;AB000HYZJH;AB000HYZJI;AB000HYZJJ;AB000HYZJK;AB000HYZJL;AB000HYZJM;AB000HYZJN;AB000HYZJO;AB000HYZJP;AB000HYZJD;AB000HYZJC;AB000HYZJB;AB000HYZJA;AB000HYZJ9;AB000HYZJ8;AB000HYZJ7;AB000HYZJ6,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Gibbsiella,Gibbsiella quercinecans,main,main
AB000KYVP8,207,B9Q16_RS16370,GCF002952035.2,NZ_CP020943.2,3416494,3417118,-1,553,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_006117959.1,AB000KYVP9;AB000KYVPA;AB000KYVPB;AB000KYVPC;AB000KYVPD;AB000KYVPE;AB000KYVPF;AB000KYVPG;AB000KYVPH;AB000KYVPI;AB000KYVP7;AB000KYVP6;AB000KYVP5;AB000KYVP4;AB000KYVP3;AB000KYVP2;AB000KYVP1;AB000KYVP0;AB000KYVOZ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,main,main
AB0005UIUH,207,Z042_RS21745,GCF000520015.2,NZ_CP007044.2,4885415,4886039,-1,1441930,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_024913881.1,AB0005UIUI;AB0005UIUJ;AB0005UIUK;AB0005UIUL;AB0005UIUM;AB0005UIUN;AB0005UIUO;AB0005UIUP;AB0005UIUQ;AB0005UIUG;AB0005UIUF;AB0005UIUE;AB0005UIUD;AB0005UIUC;AB0005UIUB;AB0005UIUA;AB0005UIU9,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Chania,Chania multitudinisentens,main,main
AB000354IR,207,RAHAQ_RS16645,GCF000187705.1,NC_015061.1,3627464,3628088,-1,741091,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_013576640.1,AB000354IS;AB000354IT;AB000354IU;AB000354IV;AB000354IW;AB000354IX;AB000354IY;AB000354IZ;AB000354J0;AB000354IQ;AB000354IP;AB000354IO;AB000354IN;AB000354IM;AB000354IL;AB000354IK;AB000354IJ,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Rahnella,Rahnella sp. Y9602,main,main
AB00189NVN,207,EL202_RS06875,GCF900637005.1,NZ_LR134335.1,1418346,1418970,-1,150053,CDS,clpP,ATP-dependent Clp endopeptidase proteolytic subunit ClpP,WP_005163505.1,AB00189NVO;AB00189NVP;AB00189NVQ;AB00189NVR;AB00189NVS;AB00189NVT;AB00189NVU;AB00189NVV;AB00189NVW;AB00189NVM;AB00189NVL;AB00189NVK;AB00189NVJ;AB00189NVI;AB00189NVH;AB00189NVG;AB00189NVF,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Yersinia,Yersinia enterocolitica,chromosome,1
