ID,length,locus_tag,assembly,accession,start,end,strand,taxid,feature,gene,product,protein_id,context,superkingdom,phylum,class,order,family,genus,species,replicon_type,replicon_name
AB000GGTIP,842,BTO20_RS04140,GCF002157835.1,NZ_CP020809.1,883490,886019,1,482462,CDS,,ATP-dependent Clp protease ATP-binding subunit,WP_087073630.1,AB000GGTIQ;AB000GGTIR;AB000GGTIS;AB000GGTIT;AB000GGTIU;AB000GGTIV;AB000GGTIW;AB000GGTIX;AB000GGTIY;AB000GGTIZ;AB000GGTJ0;AB000GGTJ1;AB000GGTJ2;AB000GGTJ3;AB000GGTJ4;AB000GGTIO;AB000GGTIN;AB000GGTIM;AB000GGTIL;AB000GGTIK;AB000GGTIJ;AB000GGTII;AB000GGTIH;AB000GGTIG;AB000GGTIF;AB000GGTIE;AB000GGTID;AB000GGTIC,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium dioxanotrophicus,main,main
AB000ZQ88J,849,G6N34_RS00300,GCF010729895.1,NZ_AP022612.1,66048,68598,1,28047,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_085155661.1,AB000ZQ88K;AB000ZQ88L;AB000ZQ88M;AB000ZQ88N;AB000ZQ88O;AB000ZQ88P;AB000ZQ88Q;AB000ZQ88R;AB000ZQ88S;AB000ZQ88T;AB000ZQ88U;AB000ZQ88V;AB000ZQ88W;AB000ZQ88X;AB000ZQ88I;AB000ZQ88H;AB000ZQ88G;AB000ZQ88F;AB000ZQ88E;AB000ZQ88D;AB000ZQ88C;AB000ZQ88B;AB000ZQ88A;AB000ZQ889;AB000ZQ888;AB000ZQ887,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium confluentis,main,main
AB000ZQJDZ,846,G6N66_RS24570,GCF010730195.1,NZ_AP022613.1,5353192,5355733,-1,44010,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_085235315.1,AB000ZQJE0;AB000ZQJE1;AB000ZQJE2;AB000ZQJE3;AB000ZQJE4;AB000ZQJE5;AB000ZQJE6;AB000ZQJE7;AB000ZQJE8;AB000ZQJE9;AB000ZQJEA;AB000ZQJEB;AB000ZQJEC;AB000ZQJDY;AB000ZQJDX;AB000ZQJDW;AB000ZQJDV;AB000ZQJDU;AB000ZQJDT;AB000ZQJDS;AB000ZQJDR;AB000ZQJDQ;AB000ZQJDP,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium conspicuum,main,main
AB000ZS0XE,847,G6N26_RS20105,GCF010731675.1,NZ_AP022584.1,4334948,4337492,1,701042,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_067174883.1,AB000ZS0XF;AB000ZS0XG;AB000ZS0XH;AB000ZS0XI;AB000ZS0XJ;AB000ZS0XK;AB000ZS0XL;AB000ZS0XM;AB000ZS0XN;AB000ZS0XO;AB000ZS0XP;AB000ZS0XQ;AB000ZS0XD;AB000ZS0XC;AB000ZS0XB;AB000ZS0XA;AB000ZS0X9;AB000ZS0X8;AB000ZS0X7;AB000ZS0X6;AB000ZS0X5;AB000ZS0X4;AB000ZS0X3;AB000ZS0X2;AB000ZS0X1,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium marseillense,main,main
AB000VIMCP,841,D3H54_RS26160,GCF008329905.1,NZ_CP032155.1,5452834,5455360,-1,1547487,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_149382508.1,AB000VIMCQ;AB000VIMCR;AB000VIMCS;AB000VIMCT;AB000VIMCU;AB000VIMCV;AB000VIMCW;AB000VIMCX;AB000VIMCY;AB000VIMCZ;AB000VIMD0;AB000VIMD1;AB000VIMCO;AB000VIMCN;AB000VIMCM;AB000VIMCL;AB000VIMCK;AB000VIMCJ;AB000VIMCI;AB000VIMCH;AB000VIMCG;AB000VIMCF;AB000VIMCE;AB000VIMCD;AB000VIMCC;AB000VIMCB,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. ELW1,main,main
AB000ZSAP3,845,G6N64_RS01435,GCF010731735.1,NZ_AP022588.1,270517,273055,-1,1286180,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_163795296.1,AB000ZSAP4;AB000ZSAP5;AB000ZSAP6;AB000ZSAP7;AB000ZSAP8;AB000ZSAP9;AB000ZSAPA;AB000ZSAPB;AB000ZSAPC;AB000ZSAPD;AB000ZSAPE;AB000ZSAP2;AB000ZSAP1;AB000ZSAP0;AB000ZSAOZ;AB000ZSAOY;AB000ZSAOX;AB000ZSAOW;AB000ZSAOV;AB000ZSAOU;AB000ZSAOT;AB000ZSAOS;AB000ZSAOR;AB000ZSAOQ;AB000ZSAOP,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium sediminis,main,main
AB000I5ARO,842,CAC50_RS26345,GCF002335685.1,NZ_CP023435.1,5367151,5369680,-1,2051552,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_071948926.1,AB000I5ARP;AB000I5ARQ;AB000I5ARR;AB000I5ARS;AB000I5ART;AB000I5ARU;AB000I5ARV;AB000I5ARW;AB000I5ARX;AB000I5ARY;AB000I5ARZ;AB000I5AS0;AB000I5ARN;AB000I5ARM;AB000I5ARL;AB000I5ARK;AB000I5ARJ;AB000I5ARI;AB000I5ARH;AB000I5ARG;AB000I5ARF;AB000I5ARE;AB000I5ARD;AB000I5ARC;AB000I5ARB;AB000I5ARA,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. PYR15,main,main
AB000ZR4GJ,840,G6N46_RS21200,GCF010731115.1,NZ_AP022616.1,4438565,4441088,1,319706,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_138250891.1,AB000ZR4GK;AB000ZR4GL;AB000ZR4GM;AB000ZR4GN;AB000ZR4GO;AB000ZR4GP;AB000ZR4GQ;AB000ZR4GR;AB000ZR4GS;AB000ZR4GT;AB000ZR4GI;AB000ZR4GH;AB000ZR4GG;AB000ZR4GF;AB000ZR4GE;AB000ZR4GD;AB000ZR4GC;AB000ZR4GB;AB000ZR4GA;AB000ZR4G9;AB000ZR4G8;AB000ZR4G7;AB000ZR4G6,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium phocaicum,main,main
AB000ZO2GC,842,G6N32_RS02390,GCF010726245.1,NZ_AP022561.1,507556,510085,1,1799,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_115317524.1,AB000ZO2GD;AB000ZO2GE;AB000ZO2GF;AB000ZO2GG;AB000ZO2GH;AB000ZO2GI;AB000ZO2GJ;AB000ZO2GK;AB000ZO2GL;AB000ZO2GM;AB000ZO2GN;AB000ZO2GO;AB000ZO2GP;AB000ZO2GQ;AB000ZO2GB;AB000ZO2GA;AB000ZO2G9;AB000ZO2G8;AB000ZO2G7;AB000ZO2G6;AB000ZO2G5;AB000ZO2G4;AB000ZO2G3;AB000ZO2G2;AB000ZO2G1;AB000ZO2G0,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium aichiense,main,main
AB000ZS5IH,841,G6N30_RS24155,GCF010731695.1,NZ_AP022586.1,5042735,5045261,1,758802,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_134056747.1,AB000ZS5II;AB000ZS5IJ;AB000ZS5IK;AB000ZS5IL;AB000ZS5IM;AB000ZS5IN;AB000ZS5IO;AB000ZS5IP;AB000ZS5IQ;AB000ZS5IR;AB000ZS5IS;AB000ZS5IT;AB000ZS5IU;AB000ZS5IG;AB000ZS5IF;AB000ZS5IE;AB000ZS5ID;AB000ZS5IC;AB000ZS5IB;AB000ZS5IA;AB000ZS5I9;AB000ZS5I8;AB000ZS5I7;AB000ZS5I6;AB000ZS5I5,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium litorale,main,main
AB000ZT0R1,842,G6N35_RS16545,GCF010731855.1,NZ_AP022620.1,3497688,3500217,-1,1431246,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_163805236.1,AB000ZT0R2;AB000ZT0R3;AB000ZT0R4;AB000ZT0R5;AB000ZT0R6;AB000ZT0R7;AB000ZT0R8;AB000ZT0R9;AB000ZT0RA;AB000ZT0RB;AB000ZT0RC;AB000ZT0RD;AB000ZT0R0;AB000ZT0QZ;AB000ZT0QY;AB000ZT0QX;AB000ZT0QW;AB000ZT0QV;AB000ZT0QU;AB000ZT0QT;AB000ZT0QS;AB000ZT0QR;AB000ZT0QQ;AB000ZT0QP;AB000ZT0QO;AB000ZT0QN;AB000ZT0QM,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium anyangense,main,main
AB0013JNGP,841,H0P51_RS26020,GCF013466425.1,NZ_CP059165.1,5805765,5808291,-1,1778,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_180915668.1,AB0013JNGQ;AB0013JNGR;AB0013JNGS;AB0013JNGT;AB0013JNGU;AB0013JNGV;AB0013JNGW;AB0013JNGX;AB0013JNGY;AB0013JNGZ;AB0013JNH0;AB0013JNH1;AB0013JNH2;AB0013JNGO;AB0013JNGN;AB0013JNGM;AB0013JNGL;AB0013JNGK;AB0013JNGJ;AB0013JNGI;AB0013JNGH;AB0013JNGG;AB0013JNGF;AB0013JNGE;AB0013JNGD,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium gordonae,main,main
AB000ZT85P,842,G6N38_RS13625,GCF010731895.1,NZ_AP022596.1,2920203,2922732,1,1534349,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_163748158.1,AB000ZT85Q;AB000ZT85R;AB000ZT85S;AB000ZT85T;AB000ZT85U;AB000ZT85V;AB000ZT85W;AB000ZT85X;AB000ZT85Y;AB000ZT85Z;AB000ZT860;AB000ZT861;AB000ZT862;AB000ZT863;AB000ZT85O;AB000ZT85N;AB000ZT85M;AB000ZT85L;AB000ZT85K;AB000ZT85J;AB000ZT85I;AB000ZT85H;AB000ZT85G;AB000ZT85F;AB000ZT85E;AB000ZT85D,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium helvum,main,main
AB000BOOZ0,847,MYVA_RS25595,GCF001655245.1,NZ_CP011491.1,5473641,5476185,-1,1354275,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_003930678.1,AB000BOOZ1;AB000BOOZ2;AB000BOOZ3;AB000BOOZ4;AB000BOOZ5;AB000BOOZ6;AB000BOOZ7;AB000BOOZ8;AB000BOOZ9;AB000BOOZA;AB000BOOZB;AB000BOOZC;AB000BOOYZ;AB000BOOYY;AB000BOOYX;AB000BOOYW;AB000BOOYV;AB000BOOYU;AB000BOOYT;AB000BOOYS;AB000BOOYR;AB000BOOYQ;AB000BOOYP;AB000BOOYO;AB000BOOYN,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium vaccae,main,main
AB000I8WUV,848,SHTP_RS01720,GCF002355775.1,NZ_AP017624.1,367202,369749,1,1124626,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_096369588.1,AB000I8WUW;AB000I8WUX;AB000I8WUY;AB000I8WUZ;AB000I8WV0;AB000I8WV1;AB000I8WV2;AB000I8WV3;AB000I8WV4;AB000I8WV5;AB000I8WUU;AB000I8WUT;AB000I8WUS;AB000I8WUR;AB000I8WUQ;AB000I8WUP;AB000I8WUO;AB000I8WUN;AB000I8WUM;AB000I8WUL;AB000I8WUK;AB000I8WUJ;AB000I8WUI,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium ulcerans,main,main
AB000ZODG6,847,G6N31_RS24040,GCF010726645.1,NZ_AP022563.1,5069384,5071928,1,39688,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_098005025.1,AB000ZODG7;AB000ZODG8;AB000ZODG9;AB000ZODGA;AB000ZODGB;AB000ZODGC;AB000ZODGD;AB000ZODGE;AB000ZODGF;AB000ZODGG;AB000ZODGH;AB000ZODGI;AB000ZODG5;AB000ZODG4;AB000ZODG3;AB000ZODG2;AB000ZODG1;AB000ZODG0;AB000ZODFZ;AB000ZODFY;AB000ZODFX;AB000ZODFW;AB000ZODFV;AB000ZODFU,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium duvalii,main,main
AB000XH9PX,847,GJE02_RS03115,GCF009664715.1,NZ_CP045963.1,621903,624447,1,222805,CDS,,ATP-dependent Clp protease ATP-binding subunit,WP_042910593.1,AB000XH9PY;AB000XH9PZ;AB000XH9Q0;AB000XH9Q1;AB000XH9Q2;AB000XH9Q3;AB000XH9Q4;AB000XH9Q5;AB000XH9Q6;AB000XH9Q7;AB000XH9Q8;AB000XH9Q9;AB000XH9PW;AB000XH9PV;AB000XH9PU;AB000XH9PT;AB000XH9PS;AB000XH9PR;AB000XH9PQ;AB000XH9PP;AB000XH9PO;AB000XH9PN;AB000XH9PM;AB000XH9PL,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium intracellulare,main,main
AB0003SL3S,847,MYCRHN_RS10785,GCF000230895.2,NC_016604.1,2236361,2238905,1,710685,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_014210609.1,AB0003SL3T;AB0003SL3U;AB0003SL3V;AB0003SL3W;AB0003SL3X;AB0003SL3Y;AB0003SL3Z;AB0003SL40;AB0003SL41;AB0003SL42;AB0003SL43;AB0003SL44;AB0003SL45;AB0003SL3R;AB0003SL3Q;AB0003SL3P;AB0003SL3O;AB0003SL3N;AB0003SL3M;AB0003SL3L;AB0003SL3K;AB0003SL3J;AB0003SL3I;AB0003SL3H;AB0003SL3G,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium rhodesiae,main,main
AB0008NKUF,842,AB431_RS26720,GCF001021385.1,NZ_CP011773.1,5626833,5629362,-1,1545728,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_047332490.1,AB0008NKUG;AB0008NKUH;AB0008NKUI;AB0008NKUJ;AB0008NKUK;AB0008NKUL;AB0008NKUM;AB0008NKUN;AB0008NKUO;AB0008NKUP;AB0008NKUQ;AB0008NKUR;AB0008NKUE;AB0008NKUD;AB0008NKUC;AB0008NKUB;AB0008NKUA;AB0008NKU9;AB0008NKU8;AB0008NKU7;AB0008NKU6;AB0008NKU5;AB0008NKU4;AB0008NKU3;AB0008NKU2;AB0008NKU1,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium sp. EPa45,main,main
AB0001DMB5,847,MVAN_RS26940,GCF000015305.1,NC_008726.1,5732996,5735540,-1,350058,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_011782497.1,AB0001DMB6;AB0001DMB7;AB0001DMB8;AB0001DMB9;AB0001DMBA;AB0001DMBB;AB0001DMBC;AB0001DMBD;AB0001DMBE;AB0001DMBF;AB0001DMBG;AB0001DMBH;AB0001DMB4;AB0001DMB3;AB0001DMB2;AB0001DMB1;AB0001DMB0;AB0001DMAZ;AB0001DMAY;AB0001DMAX;AB0001DMAW;AB0001DMAV;AB0001DMAU;AB0001DMAT,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium vanbaalenii,main,main
AB000ZNUCB,838,G6N58_RS10755,GCF010725885.1,NZ_AP022600.1,2240566,2243083,1,39695,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_068914699.1,AB000ZNUCC;AB000ZNUCD;AB000ZNUCE;AB000ZNUCF;AB000ZNUCG;AB000ZNUCH;AB000ZNUCI;AB000ZNUCJ;AB000ZNUCK;AB000ZNUCL;AB000ZNUCM;AB000ZNUCN;AB000ZNUCO;AB000ZNUCA;AB000ZNUC9;AB000ZNUC8;AB000ZNUC7;AB000ZNUC6;AB000ZNUC5;AB000ZNUC4;AB000ZNUC3;AB000ZNUC2;AB000ZNUC1,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium tokaiense,main,main
AB000ZOGWE,847,G6N42_RS19430,GCF010726765.1,NZ_AP022601.1,3951911,3954455,-1,39689,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_163731591.1,AB000ZOGWF;AB000ZOGWG;AB000ZOGWH;AB000ZOGWI;AB000ZOGWJ;AB000ZOGWK;AB000ZOGWL;AB000ZOGWM;AB000ZOGWN;AB000ZOGWO;AB000ZOGWP;AB000ZOGWQ;AB000ZOGWD;AB000ZOGWC;AB000ZOGWB;AB000ZOGWA;AB000ZOGW9;AB000ZOGW8;AB000ZOGW7;AB000ZOGW6;AB000ZOGW5;AB000ZOGW4;AB000ZOGW3;AB000ZOGW2;AB000ZOGW1;AB000ZOGW0,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium gallinarum,main,main
AB0018AVDF,841,EL338_RS01895,GCF900637205.1,NZ_LR134355.1,386003,388529,1,1792,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_126332190.1,AB0018AVDG;AB0018AVDH;AB0018AVDI;AB0018AVDJ;AB0018AVDK;AB0018AVDL;AB0018AVDM;AB0018AVDN;AB0018AVDO;AB0018AVDP;AB0018AVDQ;AB0018AVDR;AB0018AVDS;AB0018AVDT;AB0018AVDU;AB0018AVDE;AB0018AVDD;AB0018AVDC;AB0018AVDB;AB0018AVDA;AB0018AVD9;AB0018AVD8;AB0018AVD7;AB0018AVD6;AB0018AVD5;AB0018AVD4;AB0018AVD3;AB0018AVD2,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycolicibacterium,Mycolicibacterium chitae,chromosome,1
AB000ZQUPD,844,G6N25_RS12110,GCF010730745.1,NZ_AP022615.1,2585308,2587843,1,53376,CDS,clpC1,ATP-dependent protease ATP-binding subunit ClpC,WP_083073731.1,AB000ZQUPE;AB000ZQUPF;AB000ZQUPG;AB000ZQUPH;AB000ZQUPI;AB000ZQUPJ;AB000ZQUPK;AB000ZQUPL;AB000ZQUPM;AB000ZQUPN;AB000ZQUPO;AB000ZQUPP;AB000ZQUPC;AB000ZQUPB;AB000ZQUPA;AB000ZQUP9;AB000ZQUP8;AB000ZQUP7;AB000ZQUP6;AB000ZQUP5;AB000ZQUP4;AB000ZQUP3;AB000ZQUP2;AB000ZQUP1;AB000ZQUP0,Bacteria,Actinobacteria,Actinomycetia,Corynebacteriales,Mycobacteriaceae,Mycobacterium,Mycobacterium heidelbergense,main,main
