molecule;gene;target;start;end;strand
AB000BIN9E;lysS;F;1372579;1374094;1
AB000BIN9E;type III pantothenate kinase;F;1371745;1372549;1
AB000BIN9E;aspartate 1-decarboxylase;F;1371338;1371746;1
AB000BIN9E;pantoate--beta-alanine ligase;F;1370403;1371339;1
AB000BIN9E;DUF2520 domain-containing protein;F;1369483;1370407;1
AB000BIN9E;hypothetical protein;F;1368115;1369405;1
AB000BIN9E;DUF3180 domain-containing protein;F;1367600;1368086;1
AB000BIN9E;folK;F;1367088;1367601;1
AB000BIN9E;folB;F;1366711;1367092;1
AB000BIN9E;folP;F;1365915;1366719;1
AB000BIN9E;folE;F;1365256;1365874;1
AB000BIN9E;hflB;F;1362954;1365240;1
AB000AU2NM;clpC1;T;447514;450046;1
AB000AU2NM;.;F;448780.0;448780.0;1
AB000AU2NM;riboswitch;F;450113;450241;1
AB000AU2NM;CbtB-domain containing protein;F;450278;450494;1
AB000AU2NM;CbtA family protein;F;450504;451302;1
AB000AU2NM;histidine phosphatase family protein;F;451298;451853;1
AB000AU2NM;serine hydrolase;F;451846;453190;-1
AB000AU2NM;mhuD;F;453200;453524;-1
AB000AU2NM;alpha/beta hydrolase;F;453565;454333;1
AB000AU2NM;hypothetical protein;F;454306;454561;-1
AB000AU2NM;helix-turn-helix domain-containing protein;F;454632;455634;1
AB000AU2NM;A/G-specific adenine glycosylase;F;455640;456513;-1
AB000AU2NM;carbonic anhydrase;F;456511;457132;1
AB000AU2NM;hypothetical protein;F;457165;457954;1
AB000AU2NM;disA;F;457955;459071;-1
AB000AU2NM;radA;F;459104;460505;-1
AB000AU2NM;Lsr2 family protein;F;446866;447208;1
AB000AU2NM;lysS;F;445130;446660;1
AB000AU2NM;amino acid deaminase;F;443877;445107;-1
AB000AU2NM;type III pantothenate kinase;F;443062;443881;1
AB000AU2NM;aspartate 1-decarboxylase;F;442648;443056;1
AB000AU2NM;pantoate--beta-alanine ligase;F;441713;442649;1
AB000AU2NM;DUF2520 domain-containing protein;F;440802;441717;1
AB000AU2NM;hypothetical protein;F;439440;440721;1
AB000AU2NM;DUF3180 domain-containing protein;F;438886;439363;1
AB000AU2NM;folK;F;438374;438887;1
AB000AU2NM;folB;F;438009;438378;1
AB000AU2NM;folP;F;437219;438017;1
AB0004VK47;p: dihydropteroate synthase;T;-5877308;-5874758;1
AB0004VK47;.;F;-5876033.0;-5876033.0;1
AB0004VK47;Lsr2 family protein;F;-5877928;-5877586;1
AB0004VK47;lysS;F;-5879565;-5878050;1
AB0004VK47;type III pantothenate kinase;F;-5880529;-5879713;1
AB0004VK47;aspartate 1-decarboxylase;F;-5880976;-5880568;1
AB0004VK47;pantoate--beta-alanine ligase;F;-5881944;-5880975;1
AB0004VK47;DUF2520 domain-containing protein;F;-5882864;-5881940;1
AB0004VK47;hypothetical protein;F;-5884357;-5882944;1
AB0004VK47;DUF3180 domain-containing protein;F;-5884883;-5884406;1
AB0004VK47;folK;F;-5885395;-5884882;1
AB0004VK47;folB;F;-5885775;-5885391;1
AB0004VK47;folP;F;-5886562;-5885767;1
AB0004VK47;folE;F;-5887191;-5886582;1
AB0004VK47;hflB;F;-5889525;-5887215;1
AB0004VK47;YbjQ family protein;F;-5874686;-5874314;1
AB0004VK47;CbtB-domain containing protein;F;-5874146;-5873930;1
AB0004VK47;CbtA family protein;F;-5873916;-5873190;1
AB0004VK47;histidine phosphatase family protein;F;-5873118;-5872566;1
AB0004VK47;serine hydrolase;F;-5872565;-5871395;-1
AB0004VK47;mhuD;F;-5871232;-5870920;-1
AB0004VK47;alpha/beta hydrolase;F;-5870896;-5870125;1
AB0004VK47;hypothetical protein;F;-5870152;-5869897;-1
AB0004VK47;helix-turn-helix domain-containing protein;F;-5869826;-5868842;1
AB0004VK47;adenylate/guanylate cyclase domain-containing protein;F;-5868853;-5867485;-1
AB0004VK47;hypothetical protein;F;-5867448;-5866584;1
AB0004VK47;A/G-specific adenine glycosylase;F;-5866588;-5865688;-1
AB0004VK47;carbonic anhydrase;F;-5865690;-5865069;1
AB0004VK47;hypothetical protein;F;-5864968;-5864167;1
AB0001CCO9;p: hypothetical protein;T;538652;541184;1
AB0001CCO9;.;F;539918.0;539918.0;1
AB0001CCO9;CbtB-domain containing protein;F;541372;541588;1
AB0001CCO9;CbtA family protein;F;541603;542380;1
AB0001CCO9;phosphoglycerate mutase family protein;F;542376;542925;1
AB0001CCO9;carotenoid oxygenase;F;543118;544558;1
AB0001CCO9;hypothetical protein;F;544570;545938;-1
AB0001CCO9;mhuD;F;545912;546233;-1
AB0001CCO9;alpha/beta hydrolase;F;546294;547050;1
AB0001CCO9;A/G-specific adenine glycosylase;F;547032;547944;-1
AB0001CCO9;carbonic anhydrase;F;547942;548560;1
AB0001CCO9;hypothetical protein;F;548695;549505;1
AB0001CCO9;disA;F;549532;550606;-1
AB0001CCO9;radA;F;550602;552027;-1
AB0001CCO9;Lsr2 family protein;F;537977;538316;1
AB0001CCO9;lysS;F;536334;537834;1
AB0001CCO9;type III pantothenate kinase;F;535472;536288;1
AB0001CCO9;aspartate 1-decarboxylase;F;535038;535470;1
AB0001CCO9;pantoate--beta-alanine ligase;F;534112;535039;1
AB0001CCO9;DUF2520 domain-containing protein;F;533204;534116;1
AB0001CCO9;hypothetical protein;F;531700;533089;1
AB0001CCO9;DUF3180 domain-containing protein;F;531136;531613;1
AB0001CCO9;folK;F;530588;531137;1
AB0001CCO9;folB;F;530190;530592;1
AB0001CCO9;folP;F;529394;530198;1
AB0001CCO9;folE;F;528760;529375;1
AB0001CCO9;hflB;F;526344;528744;1
AB0016UK9D;clpC1;T;-4275622;-4273096;1
AB0016UK9D;.;F;-4274359.0;-4274359.0;1
AB0016UK9D;Lsr2 family protein;F;-4276282;-4275940;1
AB0016UK9D;lysS;F;-4277889;-4276389;1
AB0016UK9D;type III pantothenate kinase;F;-4278741;-4277937;1
AB0016UK9D;aspartate 1-decarboxylase;F;-4279160;-4278743;1
AB0016UK9D;pantoate--beta-alanine ligase;F;-4280095;-4279159;1
AB0016UK9D;DUF2520 domain-containing protein;F;-4281015;-4280091;1
AB0016UK9D;hypothetical protein;F;-4282268;-4281096;1
AB0016UK9D;DUF3180 domain-containing protein;F;-4282870;-4282384;1
AB0016UK9D;folK;F;-4283382;-4282869;1
AB0016UK9D;folB;F;-4283762;-4283378;1
AB0016UK9D;folP;F;-4284567;-4283754;1
AB0016UK9D;folE;F;-4285220;-4284602;1
AB0016UK9D;ATP-dependent zinc metalloprotease FtsH;F;-4287522;-4285236;1
AB0016UK9D;CbtB-domain containing protein;F;-4272912;-4272687;1
AB0016UK9D;CbtA family protein;F;-4272663;-4271862;1
AB0016UK9D;histidine phosphatase family protein;F;-4271846;-4271285;1
AB0016UK9D;trxA;F;-4271284;-4270918;-1
AB0016UK9D;NAD(P)/FAD-dependent oxidoreductase;F;-4270917;-4269717;-1
AB0016UK9D;MBL fold metallo-hydrolase;F;-4269705;-4268325;-1
AB0016UK9D;rhodanese-like domain-containing protein;F;-4268111;-4267508;1
AB0016UK9D;sulfite exporter TauE/SafE family protein;F;-4267502;-4266626;1
AB0016UK9D;metal-sensitive transcriptional regulator;F;-4266567;-4266297;1
AB0016UK9D;DUF302 domain-containing protein;F;-4266278;-4265882;1
AB0016UK9D;MBL fold metallo-hydrolase;F;-4265874;-4264527;1
AB0016UK9D;DUF202 domain-containing protein;F;-4264535;-4264193;-1
AB0016UK9D;DUF202 domain-containing protein;F;-4264192;-4263826;-1
AB0016UK9D;serine hydrolase;F;-4263795;-4262382;-1
AB000ZRVYN;clpC1;T;-3590081;-3587546;1
AB000ZRVYN;.;F;-3588813.5;-3588813.5;1
AB000ZRVYN;lsr2;F;-3590734;-3590395;1
AB000ZRVYN;lysS;F;-3592370;-3590858;1
AB000ZRVYN;type III pantothenate kinase;F;-3593234;-3592418;1
AB000ZRVYN;aspartate 1-decarboxylase;F;-3593656;-3593236;1
AB000ZRVYN;pantoate--beta-alanine ligase;F;-3594603;-3593655;1
AB000ZRVYN;Rossmann-like and DUF2520 domain-containing protein;F;-3595511;-3594599;1
AB000ZRVYN;hypothetical protein;F;-3597048;-3595626;1
AB000ZRVYN;DUF3180 domain-containing protein;F;-3597611;-3597134;1
AB000ZRVYN;folK;F;-3598159;-3597610;1
AB000ZRVYN;folB;F;-3598557;-3598155;1
AB000ZRVYN;folP;F;-3599383;-3598549;1
AB000ZRVYN;folE;F;-3600016;-3599401;1
AB000ZRVYN;ATP-dependent zinc metalloprotease FtsH;F;-3602418;-3600030;1
AB000ZRVYN;CbtB-domain containing protein;F;-3587332;-3587116;1
AB000ZRVYN;CbtA family protein;F;-3587112;-3586320;1
AB000ZRVYN;histidine phosphatase family protein;F;-3586324;-3585775;1
AB000ZRVYN;pyridoxamine 5'-phosphate oxidase family protein;F;-3585761;-3585320;-1
AB000ZRVYN;serine hydrolase;F;-3585086;-3583721;-1
AB000ZRVYN;mhuD;F;-3583747;-3583426;-1
AB000ZRVYN;alpha/beta hydrolase;F;-3583362;-3582591;1
AB000ZRVYN;winged helix-turn-helix transcriptional regulator;F;-3582490;-3582154;1
AB000ZRVYN;NADH-quinone oxidoreductase subunit B family protein;F;-3582149;-3581669;1
AB000ZRVYN;hypothetical protein;F;-3581628;-3579699;1
AB000ZRVYN;NADH-quinone oxidoreductase subunit H;F;-3579694;-3578743;1
AB000ZRVYN;hypothetical protein;F;-3578747;-3578084;1
AB000ZRVYN;hydrogenase;F;-3578085;-3576618;1
AB000ZSXQK;clpC1;T;3551288;3553811;1
AB000ZSXQK;.;F;3552549.5;3552549.5;1
AB000ZSXQK;serine hydrolase;F;3553830;3555231;-1
AB000ZSXQK;antibiotic biosynthesis monooxygenase;F;3555217;3555532;-1
AB000ZSXQK;alpha/beta hydrolase;F;3555589;3556363;1
AB000ZSXQK;A/G-specific adenine glycosylase;F;3556367;3557240;-1
AB000ZSXQK;carbonic anhydrase;F;3557292;3557910;1
AB000ZSXQK;hypothetical protein;F;3558053;3558758;1
AB000ZSXQK;disA;F;3558883;3559966;-1
AB000ZSXQK;radA;F;3559962;3561417;-1
AB000ZSXQK;hypothetical protein;F;3561466;3561979;-1
AB000ZSXQK;carD;F;3562297;3562786;1
AB000ZSXQK;2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase;F;3562790;3563459;1
AB000ZSXQK;2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase;F;3563464;3563944;1
AB000ZSXQK;Lsr2 family protein;F;3550615;3550951;1
AB000ZSXQK;lysS;F;3548980;3550513;1
AB000ZSXQK;methyltransferase domain-containing protein;F;3548082;3548868;-1
AB000ZSXQK;type III pantothenate kinase;F;3547249;3548065;1
AB000ZSXQK;aspartate 1-decarboxylase;F;3546815;3547247;1
AB000ZSXQK;pantoate--beta-alanine ligase;F;3545901;3546792;1
AB000ZSXQK;DUF2520 domain-containing protein;F;3544993;3545905;1
AB000ZSXQK;methanol dehydrogenase;F;3544481;3544577;-1
AB000ZSXQK;DUF3180 domain-containing protein;F;3542949;3543435;1
AB000ZSXQK;folK;F;3542397;3542949;1
AB000ZSXQK;folB;F;3541970;3542369;1
AB000ZSXQK;folP;F;3541156;3541978;1
AB000ZOL5I;clpC1;T;3354214;3356734;1
AB000ZOL5I;.;F;3355474.0;3355474.0;1
AB000ZOL5I;CbtB-domain containing protein;F;3356919;3357138;1
AB000ZOL5I;CbtA family protein;F;3357158;3357998;1
AB000ZOL5I;histidine phosphatase family protein;F;3358039;3358537;1
AB000ZOL5I;serine hydrolase;F;3358549;3359851;-1
AB000ZOL5I;antibiotic biosynthesis monooxygenase;F;3359879;3360194;-1
AB000ZOL5I;low temperature requirement protein A;F;3360262;3361450;-1
AB000ZOL5I;alpha/beta hydrolase;F;3361554;3362313;1
AB000ZOL5I;A/G-specific adenine glycosylase;F;3362309;3363215;-1
AB000ZOL5I;carbonic anhydrase;F;3363213;3363843;1
AB000ZOL5I;hypothetical protein;F;3363928;3364714;1
AB000ZOL5I;disA;F;3364718;3365798;-1
AB000ZOL5I;radA;F;3365804;3367259;-1
AB000ZOL5I;Lsr2 family protein;F;3353620;3353971;1
AB000ZOL5I;lysS;F;3352022;3353528;1
AB000ZOL5I;type III pantothenate kinase;F;3351184;3351979;1
AB000ZOL5I;aspartate 1-decarboxylase;F;3350765;3351185;1
AB000ZOL5I;pantoate--beta-alanine ligase;F;3349826;3350732;1
AB000ZOL5I;DUF2520 domain-containing protein;F;3348918;3349830;1
AB000ZOL5I;hypothetical protein;F;3347538;3348789;1
AB000ZOL5I;DUF3180 domain-containing protein;F;3346969;3347452;1
AB000ZOL5I;folK;F;3346463;3346979;1
AB000ZOL5I;folB;F;3346107;3346467;1
AB000ZOL5I;folP;F;3345271;3346111;1
AB000ZOL5I;folE;F;3344654;3345275;1
AB000ZOL5I;hflB;F;3342246;3344637;1
AB000ZSPFF;clpC1;T;3843884;3846425;1
AB000ZSPFF;.;F;3845154.5;3845154.5;1
AB000ZSPFF;CbtB-domain containing protein;F;3846662;3846878;1
AB000ZSPFF;CbtA family protein;F;3846897;3847695;1
AB000ZSPFF;histidine phosphatase family protein;F;3847691;3848243;1
AB000ZSPFF;serine hydrolase;F;3848239;3849610;-1
AB000ZSPFF;mhuD;F;3849590;3849914;-1
AB000ZSPFF;alpha/beta hydrolase;F;3849969;3850755;1
AB000ZSPFF;hypothetical protein;F;3850728;3850983;-1
AB000ZSPFF;helix-turn-helix domain-containing protein;F;3851054;3852050;1
AB000ZSPFF;A/G-specific adenine glycosylase;F;3851977;3852922;-1
AB000ZSPFF;carbonic anhydrase;F;3852920;3853541;1
AB000ZSPFF;hypothetical protein;F;3853600;3854365;1
AB000ZSPFF;disA;F;3854387;3855506;-1
AB000ZSPFF;radA;F;3855536;3856937;-1
AB000ZSPFF;Lsr2 family protein;F;3843269;3843611;1
AB000ZSPFF;lysS;F;3841618;3843157;1
AB000ZSPFF;alanine racemase;F;3840362;3841595;-1
AB000ZSPFF;type III pantothenate kinase;F;3839503;3840325;1
AB000ZSPFF;aspartate 1-decarboxylase;F;3839090;3839498;1
AB000ZSPFF;pantoate--beta-alanine ligase;F;3838158;3839091;1
AB000ZSPFF;DUF2520 domain-containing protein;F;3837217;3838162;1
AB000ZSPFF;hypothetical protein;F;3835803;3837129;1
AB000ZSPFF;DUF3180 domain-containing protein;F;3835248;3835725;1
AB000ZSPFF;folK;F;3834736;3835249;1
AB000ZSPFF;folB;F;3834359;3834740;1
AB000ZSPFF;folP;F;3833545;3834367;1
AB000GGTIP;p: dihydropteroate synthase;T;883490;886019;1
AB000GGTIP;.;F;884754.5;884754.5;1
AB000GGTIP;esterase family protein;F;886096;887059;-1
AB000GGTIP;YbjQ family protein;F;887194;887560;1
AB000GGTIP;CbtB-domain containing protein;F;887711;887927;1
AB000GGTIP;CbtA family protein;F;887949;888720;1
AB000GGTIP;histidine phosphatase family protein;F;888716;889265;1
AB000GGTIP;serine hydrolase;F;889266;890574;-1
AB000GGTIP;mhuD;F;890605;890923;-1
AB000GGTIP;alpha/beta hydrolase;F;890962;891724;1
AB000GGTIP;hypothetical protein;F;891706;891955;-1
AB000GGTIP;helix-turn-helix domain-containing protein;F;892027;893020;1
AB000GGTIP;hypothetical protein;F;893016;893310;-1
AB000GGTIP;A/G-specific adenine glycosylase;F;893371;894247;-1
AB000GGTIP;carbonic anhydrase;F;894284;894905;1
AB000GGTIP;hypothetical protein;F;894979;895750;1
AB000GGTIP;disA;F;895757;896876;-1
AB000GGTIP;Lsr2 family protein;F;882892;883237;1
AB000GGTIP;lysS;F;881251;882775;1
AB000GGTIP;type III pantothenate kinase;F;880420;881236;1
AB000GGTIP;aspartate 1-decarboxylase;F;879986;880421;1
AB000GGTIP;pantoate--beta-alanine ligase;F;879048;879987;1
AB000GGTIP;DUF2520 domain-containing protein;F;878128;879052;1
AB000GGTIP;hypothetical protein;F;876675;878047;1
AB000GGTIP;DUF3180 domain-containing protein;F;876148;876625;1
AB000GGTIP;folK;F;875608;876145;1
AB000GGTIP;folB;F;875205;875586;1
AB000GGTIP;folP;F;874403;875213;1
AB000GGTIP;folE;F;873768;874383;1
AB000GGTIP;hflB;F;871440;873747;1
AB000ZQ88J;clpC1;T;66048;68598;1
AB000ZQ88J;.;F;67323.0;67323.0;1
AB000ZQ88J;CbtB-domain containing protein;F;68832;69048;1
AB000ZQ88J;CbtA family protein;F;69077;69872;1
AB000ZQ88J;histidine phosphatase family protein;F;69868;70408;1
AB000ZQ88J;serine hydrolase;F;70563;71925;-1
AB000ZQ88J;mhuD;F;71887;72205;-1
AB000ZQ88J;alpha/beta hydrolase;F;72226;72991;1
AB000ZQ88J;hypothetical protein;F;72994;73261;-1
AB000ZQ88J;helix-turn-helix domain-containing protein;F;73332;74301;1
AB000ZQ88J;class I SAM-dependent methyltransferase;F;74252;74885;-1
AB000ZQ88J;A/G-specific adenine glycosylase;F;74948;75848;-1
AB000ZQ88J;carbonic anhydrase;F;75885;76521;1
AB000ZQ88J;hypothetical protein;F;76637;77399;1
AB000ZQ88J;disA;F;77395;78505;-1
AB000ZQ88J;radA;F;78507;79992;-1
AB000ZQ88J;Lsr2 family protein;F;65465;65804;1
AB000ZQ88J;lysS;F;63804;65355;1
AB000ZQ88J;alanine racemase;F;62529;63792;-1
AB000ZQ88J;type III pantothenate kinase;F;61708;62524;1
AB000ZQ88J;aspartate 1-decarboxylase;F;61283;61709;1
AB000ZQ88J;pantoate--beta-alanine ligase;F;60345;61284;1
AB000ZQ88J;DUF2520 domain-containing protein;F;59407;60349;1
AB000ZQ88J;hypothetical protein;F;57828;59289;1
AB000ZQ88J;DUF3180 domain-containing protein;F;57273;57759;1
AB000ZQ88J;folK;F;56753;57296;1
AB000ZQ88J;folB;F;56352;56757;1
AB000ZQ88J;folP;F;55511;56360;1
AB000ZQJDZ;clpC1;T;-5355733;-5353192;1
AB000ZQJDZ;.;F;-5354462.5;-5354462.5;1
AB000ZQJDZ;lsr2;F;-5356298;-5355959;1
AB000ZQJDZ;lysS;F;-5357909;-5356409;1
AB000ZQJDZ;type III pantothenate kinase;F;-5358800;-5357984;1
AB000ZQJDZ;aspartate 1-decarboxylase;F;-5359231;-5358802;1
AB000ZQJDZ;pantoate--beta-alanine ligase;F;-5360157;-5359230;1
AB000ZQJDZ;DUF2520 domain-containing protein;F;-5361074;-5360153;1
AB000ZQJDZ;hypothetical protein;F;-5362294;-5361175;1
AB000ZQJDZ;DUF3180 domain-containing protein;F;-5362840;-5362363;1
AB000ZQJDZ;folK;F;-5363361;-5362839;1
AB000ZQJDZ;folB;F;-5363768;-5363357;1
AB000ZQJDZ;folP;F;-5364570;-5363760;1
AB000ZQJDZ;folE;F;-5365210;-5364589;1
AB000ZQJDZ;ATP-dependent zinc metalloprotease FtsH;F;-5367593;-5365226;1
AB000ZQJDZ;CbtB-domain containing protein;F;-5353155;-5352957;1
AB000ZQJDZ;CbtA family protein;F;-5352947;-5352161;1
AB000ZQJDZ;histidine phosphatase family protein;F;-5352154;-5351608;1
AB000ZQJDZ;serine hydrolase;F;-5351279;-5349935;-1
AB000ZQJDZ;mhuD;F;-5349925;-5349607;-1
AB000ZQJDZ;alpha/beta fold hydrolase;F;-5349581;-5348813;1
AB000ZQJDZ;PE domain-containing protein;F;-5348775;-5345994;-1
AB000ZQJDZ;GMC family oxidoreductase;F;-5345992;-5344282;-1
AB000ZQJDZ;gluconate 2-dehydrogenase subunit 3 family protein;F;-5344293;-5343498;-1
AB000ZQJDZ;winged helix-turn-helix transcriptional regulator;F;-5343341;-5343008;1
AB000ZS0XE;clpC1;T;4334948;4337492;1
AB000ZS0XE;.;F;4336220.0;4336220.0;1
AB000ZS0XE;CbtB-domain containing protein;F;4337582;4337792;1
AB000ZS0XE;CbtA family protein;F;4337801;4338578;1
AB000ZS0XE;histidine phosphatase family protein;F;4338574;4339123;1
AB000ZS0XE;serine hydrolase;F;4339126;4340491;-1
AB000ZS0XE;mhuD;F;4340465;4340786;-1
AB000ZS0XE;alpha/beta hydrolase;F;4340847;4341618;1
AB000ZS0XE;A/G-specific adenine glycosylase;F;4341622;4342522;-1
AB000ZS0XE;carbonic anhydrase;F;4342520;4343138;1
AB000ZS0XE;hypothetical protein;F;4343275;4344082;1
AB000ZS0XE;disA;F;4344095;4345178;-1
AB000ZS0XE;radA;F;4345194;4346607;-1
AB000ZS0XE;hypothetical protein;F;4346656;4347226;-1
AB000ZS0XE;lsr2;F;4334273;4334612;1
AB000ZS0XE;lysS;F;4332649;4334146;1
AB000ZS0XE;type III pantothenate kinase;F;4331790;4332606;1
AB000ZS0XE;aspartate 1-decarboxylase;F;4331368;4331788;1
AB000ZS0XE;pantoate--beta-alanine ligase;F;4330430;4331369;1
AB000ZS0XE;DUF2520 domain-containing protein;F;4329522;4330434;1
AB000ZS0XE;hypothetical protein;F;4327996;4329394;1
AB000ZS0XE;DUF3180 domain-containing protein;F;4327432;4327909;1
AB000ZS0XE;folK;F;4326914;4327433;1
AB000ZS0XE;folB;F;4326531;4326918;1
AB000ZS0XE;folP;F;4325687;4326539;1
AB000ZS0XE;folE;F;4325088;4325691;1
AB000ZS0XE;ATP-dependent zinc metalloprotease FtsH;F;4322648;4325072;1
AB000VIMCP;clpC1;T;-5455360;-5452834;1
AB000VIMCP;.;F;-5454097.0;-5454097.0;1
AB000VIMCP;Lsr2 family protein;F;-5455952;-5455610;1
AB000VIMCP;lysS;F;-5457588;-5456067;1
AB000VIMCP;amino acid deaminase;F;-5458886;-5457611;-1
AB000VIMCP;type III pantothenate kinase;F;-5459695;-5458882;1
AB000VIMCP;aspartate 1-decarboxylase;F;-5460114;-5459697;1
AB000VIMCP;pantoate--beta-alanine ligase;F;-5461043;-5460113;1
AB000VIMCP;DUF2520 domain-containing protein;F;-5461975;-5461039;1
AB000VIMCP;hypothetical protein;F;-5463399;-5462070;1
AB000VIMCP;DUF3180 family protein;F;-5463943;-5463466;1
AB000VIMCP;folK;F;-5464464;-5463942;1
AB000VIMCP;folB;F;-5464862;-5464460;1
AB000VIMCP;folP;F;-5465709;-5464854;1
AB000VIMCP;YbjQ family protein;F;-5452727;-5452358;1
AB000VIMCP;CbtB-domain containing protein;F;-5452213;-5452000;1
AB000VIMCP;CbtA family protein;F;-5451975;-5451171;1
AB000VIMCP;histidine phosphatase family protein;F;-5451110;-5450552;1
AB000VIMCP;serine hydrolase;F;-5450573;-5449136;-1
AB000VIMCP;mhuD;F;-5449231;-5448913;-1
AB000VIMCP;alpha/beta fold hydrolase;F;-5448858;-5448084;1
AB000VIMCP;hypothetical protein;F;-5448111;-5447913;-1
AB000VIMCP;helix-turn-helix domain-containing protein;F;-5447842;-5446882;1
AB000VIMCP;A/G-specific adenine glycosylase;F;-5446886;-5445971;-1
AB000VIMCP;carbonic anhydrase;F;-5445973;-5445355;1
AB000VIMCP;hypothetical protein;F;-5445299;-5444474;1
AB000VIMCP;disA;F;-5444409;-5443293;-1
AB000VIMCP;radA;F;-5443303;-5441854;-1
AB000ZSAP3;clpC1;T;-273055;-270517;1
AB000ZSAP3;.;F;-271786.0;-271786.0;1
AB000ZSAP3;Lsr2 family protein;F;-273655;-273313;1
AB000ZSAP3;lysS;F;-275271;-273762;1
AB000ZSAP3;alanine racemase;F;-276533;-275294;-1
AB000ZSAP3;type III pantothenate kinase;F;-277413;-276609;1
AB000ZSAP3;pantoate--beta-alanine ligase;F;-278487;-277542;1
AB000ZSAP3;DUF2520 domain-containing protein;F;-279413;-278483;1
AB000ZSAP3;hypothetical protein;F;-281030;-279494;1
AB000ZSAP3;DUF3180 family protein;F;-281583;-281106;1
AB000ZSAP3;folK;F;-282098;-281582;1
AB000ZSAP3;folB;F;-282472;-282094;1
AB000ZSAP3;folP;F;-283269;-282468;1
AB000ZSAP3;riboswitch;F;-270350;-270226;1
AB000ZSAP3;CbtB-domain containing protein;F;-270203;-269987;1
AB000ZSAP3;CbtA family protein;F;-269962;-269158;1
AB000ZSAP3;histidine phosphatase family protein;F;-269152;-268600;1
AB000ZSAP3;serine hydrolase;F;-268611;-267234;-1
AB000ZSAP3;mhuD;F;-267220;-266899;-1
AB000ZSAP3;alpha/beta fold hydrolase;F;-266857;-266086;1
AB000ZSAP3;hypothetical protein;F;-266113;-265891;-1
AB000ZSAP3;helix-turn-helix domain-containing protein;F;-265820;-264854;1
AB000ZSAP3;alpha/beta fold hydrolase;F;-264848;-263495;-1
AB000ZSAP3;A/G-specific adenine glycosylase;F;-263454;-262545;-1
AB000ZSAP3;carbonic anhydrase;F;-262547;-261926;1
AB000ZSAP3;hypothetical protein;F;-261867;-261081;1
AB000ZSAP3;disA;F;-260983;-259846;-1
AB000I5ARO;clpC1;T;-5369680;-5367151;1
AB000I5ARO;.;F;-5368415.5;-5368415.5;1
AB000I5ARO;Lsr2 family protein;F;-5370271;-5369929;1
AB000I5ARO;lysS;F;-5371907;-5370386;1
AB000I5ARO;alanine racemase;F;-5373199;-5371930;-1
AB000I5ARO;type III pantothenate kinase;F;-5374011;-5373195;1
AB000I5ARO;aspartate 1-decarboxylase;F;-5374430;-5374013;1
AB000I5ARO;pantoate--beta-alanine ligase;F;-5375359;-5374429;1
